Date,Open,High,Low,NFLX_Close(t),Volume,SD20,Upper_Band,Lower_Band,NFLX_Close(t-1),NFLX_Close(t-2),NFLX_Close(t-5),NFLX_Close(t-10),NFLX_Open(t-1),MA5,MA10,MA20,MA50,MA200,MACD,MACD_EMA,EMA10,EMA20,EMA50,EMA100,EMA200,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,QQQ_Close_x,QQQ(t-1)_x,QQQ(t-2)_x,QQQ(t-5)_x,QQQ_MA10_x,QQQ_MA20_x,QQQ_MA50_x,QQQ_Close_y,QQQ(t-1)_y,QQQ(t-2)_y,QQQ(t-5)_y,QQQ_MA10_y,QQQ_MA20_y,QQQ_MA50_y,SnP_Close,SnP(t-1)),SnP(t-5),ForceIndex1,ForceIndex20,NFLX_Close(t+1),Date_Col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month
2010-10-07,150.67,154.09,148.84,151.43,4109700.0,8.785232132365513,170.724584264731,135.58365573526896,150.27,156.1625,162.16,160.47,154.49,153.7825,159.07625000000002,153.15411999999998,136.251148,98.4669925,5.479144174893719,7.221541446414135,154.09883119727385,154.09883119727385,154.09883119727385,154.09883119727385,154.09883119727385,6.667988637849018,36.25350490719414,1333.3333333333335,-5.633451735526885,52.615786866941065,-66.81210005817337,33.187899941826636,0.02676006591697802,49.41,49.23,49.66,49.07,49.25699999999999,48.62824500000001,46.66914799999999,49.41,49.23,49.66,49.07,49.25699999999999,48.62824500000001,46.66914799999999,52.94,52.968,52.18,4767251.999999986,23630775.0,149.64,2010-10-07,7,3,280,40,0,0,0,0,0,0,0,2010,10
2010-10-08,152.04,153.0,148.05,149.64,3482500.0,8.673163611397735,170.6744472227955,135.98179277720453,151.43,150.27,154.66,162.21,150.67,152.7785,157.81924999999998,153.32812,137.283548,98.94714249999998,4.658154277738362,6.708864012678982,152.6125541315159,152.6125541315159,152.6125541315159,152.6125541315159,152.6125541315159,6.545275163716945,34.684897231148504,1333.3333333333335,-7.74921398187536,50.714965427394745,-79.13071268775975,20.86928731224025,0.01964829628799398,49.75,49.41,49.23,49.01,49.266,48.785745000000006,46.749947999999996,49.75,49.41,49.23,49.01,49.266,48.785745000000006,46.749947999999996,53.3399,52.94,52.36,-6233675.000000072,12119099.999999965,153.69,2010-10-08,8,4,281,40,0,0,0,0,0,0,0,2010,10
2010-10-11,150.74,156.4789,150.2301,153.69,4088900.0,8.579956963980527,170.77553392796105,136.45570607203896,149.64,151.43,156.39,164.99,152.04,152.2385,156.68925,153.61562,138.30634799999999,99.43134250000001,4.284921118682291,6.224075433879644,152.97170275434394,152.97170275434394,152.97170275434394,152.97170275434394,152.97170275434394,6.566248366308593,33.72304283655881,1333.3333333333335,-6.848899933329299,54.702345572506005,-78.59582542694501,21.40417457305498,0.02400567810957071,49.77,49.75,49.41,48.48,49.304,48.911745,46.829147999999996,49.77,49.75,49.41,48.48,49.304,48.911745,46.829147999999996,53.25,53.3399,51.92,16560045.000000047,23511175.0,155.39,2010-10-11,11,0,284,41,0,0,0,0,0,0,0,2010,10
2010-10-12,153.72,155.83,151.51,155.39,3635600.0,8.427732263412135,170.90808452682427,137.1971554731757,153.69,149.64,156.1625,161.86,150.74,152.084,156.04225,154.05262,139.37654799999999,99.9238425,4.079283502684717,5.795117047640659,153.7778018362293,153.7778018362293,153.7778018362293,153.7778018362293,153.7778018362293,6.405802054429409,32.82989232729695,1333.3333333333333,-3.9972816013839285,56.30053153756237,-72.14421252371925,27.855787476280746,0.024875786319749228,50.11,49.77,49.75,49.66,49.378,49.044745,46.897948,50.11,49.77,49.75,49.66,49.378,49.044745,46.897948,53.56,53.25,53.058,6180519.999999959,31775143.99999993,154.61,2010-10-12,12,1,285,41,0,0,0,0,0,0,0,2010,10
2010-10-13,158.1,159.5,154.01,154.61,3280100.0,8.025270083572519,170.67766016714506,138.57657983285497,155.39,153.69,150.27,170.63,153.72,152.952,154.44025,154.62712000000002,140.380548,100.41019250000001,3.8094616268725474,5.397985963487036,154.05520122415288,154.05520122415288,154.05520122415288,154.05520122415288,154.05520122415288,6.340387621970166,32.50683378877893,1333.3333333333333,-9.388735861220173,55.33583999782742,-75.10436432637569,24.8956356736243,0.015092336761495597,50.52,50.11,49.77,49.23,49.501,49.183245,46.978948,50.52,50.11,49.77,49.23,49.501,49.183245,46.978948,53.88,53.56,52.968,-2558477.9999999106,37688349.00000003,152.78,2010-10-13,13,2,286,41,0,0,0,0,0,0,0,2010,10
2010-10-14,153.91,156.76,151.54,152.78,3132800.0,7.32691739292214,169.89495478584428,140.5872852141557,154.61,155.39,151.43,162.16,158.1,153.22199999999998,153.50225,155.24112,141.273548,100.88919250000001,3.4086671472263106,5.000122200234891,153.63013414943526,153.63013414943526,153.63013414943526,153.63013414943526,153.63013414943526,6.260359934686583,31.64578679906731,1333.3333333333333,-5.784410458806115,53.039599454028,-82.04933586337764,17.950664136622354,0.016896922673548455,50.42,50.52,50.11,49.41,49.636,49.307245,47.048588,50.42,50.52,50.11,49.41,49.636,49.307245,47.048588,53.68,53.88,52.94,-5733024.000000039,38470784.0,155.72,2010-10-14,14,3,287,41,0,0,0,0,0,0,0,2010,10
2010-10-15,153.53,155.83,152.06,155.72,3439300.0,6.4485620133948895,168.90124402678978,143.10699597321022,152.78,154.61,149.64,154.66,153.91,154.438,153.60825,156.00412,142.177348,101.3896325,3.290339083147643,4.658165576817441,154.32675609962354,154.32675609962354,154.32675609962354,154.32675609962354,154.32675609962354,6.08247708220897,30.846243165763664,1333.3333333333335,0.6853743695848974,56.18526122707364,-70.89184060721067,29.108159392789336,0.016295634416115964,51.49,50.42,50.52,49.75,49.884,49.481995,47.141788000000005,51.49,50.42,50.52,49.75,49.884,49.481995,47.141788000000005,53.78,53.68,53.3399,10111541.999999993,52483717.99999997,153.0,2010-10-15,15,4,288,41,0,0,0,0,0,0,0,2010,10
2010-10-18,156.41,156.65,152.02,153.0,2853800.0,5.721733052865831,167.95309110573166,145.06615889426834,155.72,152.78,153.69,156.39,153.53,154.3,153.26925,156.509625,142.870948,101.87918250000001,2.94315511176805,4.315163483807563,153.8845040664157,153.8845040664157,153.8845040664157,153.8845040664157,153.8845040664157,5.978728719194043,30.23465520248472,1333.3333333333335,-2.1676577786303386,52.67005915722871,-81.21442125237195,18.785578747628044,0.015490526677193849,51.3,51.49,50.42,49.77,50.166,49.6055,47.23258799999999,51.3,51.49,50.42,49.77,50.166,49.6055,47.23258799999999,54.17,53.78,53.25,-7762335.999999997,28852203.37999997,149.33,2010-10-18,18,0,291,42,0,0,0,0,0,0,0,2010,10
2010-10-19,150.31,152.43,147.35,149.33,3661100.0,5.556775882398413,167.72967676479684,145.5025732352032,153.0,155.72,155.39,156.1625,156.41,153.08800000000002,152.58599999999998,156.616125,143.519548,102.35843249999999,2.3448411158237263,3.9210990102107957,152.36633604427715,152.36633604427715,152.36633604427715,152.36633604427715,152.36633604427715,5.955248096394469,28.585786052485357,1333.3333333333335,-4.375250140078432,48.28086514462013,-92.68022181146019,7.319778188539805,0.0166646049173156,50.82,51.3,51.49,50.11,50.282,49.7055,47.307388,50.82,51.3,51.49,50.11,50.282,49.7055,47.307388,53.3101,54.17,53.56,-13436236.999999953,7798143.000000088,153.15,2010-10-19,19,1,292,42,0,0,0,0,0,0,0,2010,10
2010-10-20,150.0,155.77,148.0,153.15,9040300.0,5.609571195437168,167.64626739087433,145.20798260912565,149.33,153.0,154.61,150.27,150.31,152.796,152.874,156.427125,144.082348,102.86663250000001,2.1540840977383198,3.5676960277163006,152.62755736285143,152.62755736285143,152.62755736285143,152.62755736285143,152.62755736285143,6.084873232366293,27.631851906319465,1333.3333333333333,1.916550209622676,52.69931922022308,-56.55430711610476,43.445692883895234,0.0225329176695085,51.19,50.82,51.3,50.52,50.477999999999994,49.8305,47.397738,51.19,50.82,51.3,50.52,50.477999999999994,49.8305,47.397738,53.88,53.3101,53.88,34533945.99999994,-34172334.00000001,172.69,2010-10-20,20,2,293,42,0,0,0,0,0,0,0,2010,10
